experiment_set_ctx_length,name,run_tag,model_type,num_params,num_tokens_training,num_flops_training,val/.dclm_loss,token_param_ratio,width_depth_ratio,Preset Token Param Ratio,experiment_set,context_length,learning_rate,global_batch_size,num_train_steps,val/.dclm_perplexity,Preset Num Params,Model Size,embedding_dim,num_blocks,num_heads,proj_factor_ffn,ffn_multiple_of,ffn_dim,head_dim_qk,head_dim_v,IsoFLOP,train/.loss_mean,run_id,model_checkpoint_paths
tokenparam_ctx8192,dclm_mLSTMv1_160M_ctx8192_lr0.003_steps3500_nh6_gbs128,scl_mlstm_160Mv2,mlstm_v1,164110224.0,3670016000.0,2.809832926150656e+18,3.278110362507386,22.36311614564611,64.0,22,tokenparam,8192,0.003,128.0,3500.0,26.525601540965525,,160M,768,12,6,2.667,64,2112,64.0,128,,3.280884430124334,i5dhe6am,"[""/nfs-gpu/xlstm/outputs_beck/sclaw/dclm_mLSTMv1_160M_ctx8192_lr0.003_steps3500_nh6_2025-02-11T17:42:34/0/wandb""]"
tokenparam_ctx8192,dclm_mLSTMv1_160M_ctx8192_lr0.003_steps5000_nh6_gbs128,scl_mlstm_160Mv2,mlstm_v1,164110224.0,5242880000.0,4.01404703735808e+18,3.2102737541221664,31.947308779494445,64.0,extra,tokenparam,8192,0.003,128.0,5000.0,24.785870530158633,,160M,768,12,6,2.667,64,2112,64.0,128,,3.2076875312801953,5q50n1xs,"[""/nfs-gpu/xlstm/outputs_beck/sclaw/dclm_mLSTMv1_160M_ctx8192_lr0.003_steps5000_nh6_2025-01-18T09:17:10/3/wandb""]"
